Title,Author,Avg Rating,Rating Count,Review Count,Cover Image,Description,Genre
Concerning the Spiritual in Art,Wassily Kandinsky,3.84,"89,383 ratings",600 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405982387i/857502.jpg,"A pioneering work in the movement to free art from its traditional bonds to material reality, this book is one of the most important documents in the history of modern art. Written by the famous nonobjective painter Wassily Kandinsky (1866–1944), it explains Kandinsky's own theory of painting and crystallizes the ideas that were influencing many other modern artists of the period. Along with his own groundbreaking paintings, this book had a tremendous impact on the development of modern art.
Kandinsky's ideas are presented in two parts. The first part, called ""About General Aesthetic,"" issues a call for a spiritual revolution in painting that will let artists express their own inner lives in abstract, non-material terms. Just as musicians do not depend upon the material world for their music, so artists should not have to depend upon the material world for their art. In the second part, ""About Painting,"" Kandinsky discusses the psychology of colors, the language of form and color, and the responsibilities of the artist. An Introduction by the translator, Michael T. H. Sadler, offers additional explanation of Kandinsky's art and theories, while a new Preface by Richard Stratton discusses Kandinsky's career as a whole and the impact of the book. Making the book even more valuable are nine woodcuts by Kandinsky himself that appear at the chapter headings.
This English translation of Über das Geistige in der Kunst was a significant contribution to the understanding of nonobjectivism in art. It continues to be a stimulating and necessary reading experience for every artist, art student, and art patron concerned with the direction of 20th-century painting.
Show more",art
Seven Days in the Art World,Sarah Thornton,3.62,"68,227 ratings",874 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358748500i/6988014.jpg,"Named one of the best art books of 2008 by The New York Times and The Sunday Times [London]: “An indelible portrait of a peculiar society.”—Vogue

The art market has been booming. Museum attendance is surging. More people than ever call themselves artists. Contemporary art has become a mass entertainment, a luxury good, a job description, and, for some, a kind of alternative religion.

In a series of beautifully paced narratives, Sarah Thornton investigates the drama of a Christie's auction, the workings in Takashi Murakami's studios, the elite at the Basel Art Fair, the eccentricities of magazine, the competition behind an important art prize, life in a notorious art-school seminar, and the wonderland of the Venice Biennale. She reveals the new dynamics of creativity, taste, status, money, and the search for meaning in life. A judicious and juicy account of the institutions that have the power to shape art history, based on hundreds of interviews with high-profile players, Thornton's entertaining ethnography will change the way you look at contemporary culture. 8 illustrations.
Show more",art
Color and Light: A Guide for the Realist Painter (Volume 2),James Gurney,4.18,"16,078 ratings",251 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1395425135i/8384010.jpg,"From New York Times best-selling author of the Dinotopia series, James Gurney, comes a carefully crafted and researched study on color and light in paintings. This art instruction book will accompany the acclaimed Imaginative Realism: How to Paint What Doesn't Exist.

James Gurney, New York Times best-selling author and artist of the Dinotopia series, follows Imaginative Realism with his second art-instruction book, Color and Light: A Guide for the Realist Painter. A researched study on two of art's most fundamental themes, bridges the gap between abstract theory and practical knowledge. Beginning with a survey of underappreciated masters who perfected the use of color and light, the book examines how light reveals form, the properties of color and pigments, and the wide variety of atmospheric effects. Gurney cuts though the confusing and contradictory dogma about color, testing it in the light of science and observation. A glossary, pigment index, and bibliography complete what will ultimately become an indispensable tool for any artist.

This book is the second in a series based on his blog, gurneyjourney.com. His first in the series, , was widely acclaimed in the fantastical art world, and was ranked the #1 Bestseller on the Amazon list for art instruction.

""James Gurney's new book, , cleverly bridges the gap between artistic observation and scientific explanation. Not only does he eloquently describe all the effects of color and light an artist might encounter, but he thrills us with his striking paintings in the process."" --Armand Cabrera, Artist
Show more",art
The Goldfinch,Donna Tartt,3.96,"997,084 ratings","84,209 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1378710146i/17333223.jpg,"Winner of the Pulitzer Prize for Fiction 2014

Aged thirteen, Theo Decker, son of a devoted mother and a reckless, largely absent father, survives an accident that otherwise tears his life apart. Alone and rudderless in New York, he is taken in by the family of a wealthy friend. He is tormented by an unbearable longing for his mother, and down the years clings to the thing that most reminds him of her: a small, strangely captivating painting that ultimately draws him into the criminal underworld. As he grows up, Theo learns to glide between the drawing rooms of the rich and the dusty antiques store where he works. He is alienated and in love - and his talisman, the painting, places him at the centre of a narrowing, ever more dangerous circle.

The Goldfinch is a haunted odyssey through present-day America and a drama of enthralling power. Combining unforgettably vivid characters and thrilling suspense, it is a beautiful, addictive triumph - a sweeping story of loss and obsession, of survival and self-invention, of the deepest mysteries of love, identity and fate.
Show more",art
On Photography,Susan Sontag,3.89,"52,682 ratings","1,625 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1671548651i/52372.jpg,"First published in 1973, this is a study of the force of photographic images which are continually inserted between experience and reality. Sontag develops further the concept of 'transparency'. When anything can be photographed and photography has destroyed the boundaries and definitions of art, a viewer can approach a photograph freely with no expectations of discovering what it means. This collection of six lucid and invigorating essays, the most famous being ""In Plato's Cave"", make up a deep exploration of how the image has affected society.",art
History of Beauty,Umberto Eco,3.84,"64,348 ratings",443 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386926937i/10505.jpg,"Umberto Eco’s groundbreaking and much-acclaimed first illustrated book has been a critical success since its first publication in 2004. What is beauty? Umberto Eco, among Italy’s finest and most important contemporary thinkers, explores the nature, the meaning, and the very history of the idea of beauty in Western culture. The profound and subtle text is lavishly illustrated with abundant examples of sublime painting and sculpture and lengthy quotations from writers and philosophers. This is the first paperback edition of History of Beauty, making this intellectual and philosophical journey with one of the world’s most acclaimed thinkers available in a more compact and affordable format.

From the Trade Paperback edition
Show more",art
The War of Art,Steven Pressfield,3.99,"111,615 ratings","8,663 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1574272133i/1319.jpg,"Internationally bestselling author of Last of the Amazons, Gates of Fire, and Tides of War, Steven Pressfield delivers a guide to inspire and support those who struggle to express their creativity. Pressfield believes that “resistance” is the greatest enemy, and he offers many unique and helpful ways to overcome it.",art
Leonardo da Vinci,Walter Isaacson,4.19,"118,800 ratings","6,331 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1523543570i/34684622.jpg,"Based on thousands of pages from Leonardo's astonishing notebooks and new discoveries about his life and work, Walter Isaacson weaves a narrative that connects his art to his science. He shows how Leonardo's genius was based on skills we can improve in ourselves, such as passionate curiosity, careful observation, and an imagination so playful that it flirted with fantasy. He produced the two most famous paintings in history, The Last Supper and the Mona Lisa. But in his own mind, he was just as much a man of science and technology. With a passion that sometimes became obsessive, he pursued innovative studies of anatomy, fossils, birds, the heart, flying machines, botany, geology, and weaponry. His ability to stand at the crossroads of the humanities and the sciences, made iconic by his drawing of Vitruvian Man, made him history's most creative genius
Show more",art
The Diary of Frida Kahlo: An Intimate Self-Portrait,Frida Kahlo,3.92,"47,328 ratings",591 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407009131i/91760.jpg,"An intimate self-portrait of one of the most renowned Mexican artists of the twentieth century, The Diary of Frida An Intimate Self-Portrait is “a visual document, engaging the eye with a volcanic profusion of penned-and-painted imagery” ( New York Times ).

Published in its entirety, Frida Kahlo’s amazing, illustrated journal documents the last 10 years of her turbulent life. These passionate, often surprising, intimate records, kept under lock and key for some 40 years in Mexico, reveal many new dimensions in the complex personal life of this remarkable artist.

The 170-page journal contains the artist’s thoughts, poems, and dreams—many reflecting her stormy relationship with her husband, artist Diego Rivera—along with 70 mesmerizing watercolor illustrations. Her views of love, politics, and more come into sharp focus in a kaleidoscope of creativity and thought.

In his introduction, award-winner Carlos Fuentes, one of Mexico’s most important writers and critics, ties Kahlo’s images of pain, loss, mutilation, and transcendence to Mexico’s historic cycles of revolution and reaction. Sprinkled with irony, black humor, even gaiety, and augmented with translations of the diary entries plus commentaries and photographs, her diary stands as a reminder of not only Kahlo’s formidable talent, but also her resilience and courage.

The text entries, written in Frida’s round, full script in brightly colored inks, make the journal as captivating to look at as it is to read. Her writing reveals the artist’s political sensibilities, recollections of her childhood, and her enormous courage in the face of more than 35 operations to correct injuries she had sustained in an accident at the age of 18.

This intimate portal into her life is sure to fascinate fans of the artist, art historians, and women’s culturalists alike.
Show more",art
Understanding Comics: The Invisible Art,Scott McCloud,4.01,"127,455 ratings","3,091 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328408101i/102920.jpg,"Praised throughout the cartoon industry by such luminaries as Art Spiegelman, Matt Groening, and Will Eisner, this innovative comic book provides a detailed look at the history, meaning, and art of comics and cartooning.",art
Interaction of Color,Josef Albers,4.03,"12,888 ratings",258 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328870173i/111113.jpg,"Josef Albers’s Interaction of Color is a masterwork in twentieth-century art education. Conceived as a handbook and teaching aid for artists, instructors, and students, this timeless book presents Albers’s unique ideas of color experimentation in a way that is valuable to specialists as well as to a larger audience.

Originally published by Yale University Press in 1963 as a limited silkscreen edition with 150 color plates, Interaction of Color first appeared in paperback in 1971, featuring ten representative color studies chosen by Albers. The paperback has remained in print ever since and is one of the most influential resources on color for countless readers.

This new paperback edition presents a significantly expanded selection of more than thirty color studies alongside Albers’s original unabridged text, demonstrating such principles as color relativity, intensity, and temperature; vibrating and vanishing boundaries; and the illusions of transparency and reversed grounds. Now available in a larger format and with enhanced production values, this expanded edition celebrates the unique authority of Albers’s contribution to color theory and brings the artist’s iconic study to an eager new generation of readers.
Show more",art
The Creative Act: A Way of Being,Rick Rubin,4.01,"63,158 ratings","6,551 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663707011i/60965426.jpg,"From the legendary music producer, a master at helping people connect with the wellsprings of their creativity, comes a beautifully crafted book many years in the making that offers that same deep wisdom to all of us.

""A gorgeous and inspiring work of art on creation, creativity, the work of the artist. It will gladden the hearts of writers and artists everywhere, and get them working again with a new sense of meaning and direction. A stunning accomplishment."" --Anne Lamott

""

Many famed music producers are known for a particular sound that has its day. Rick Rubin is known for something else: creating a space where artists of all different genres and traditions can home in on who they really are and what they really offer. He has made a practice of helping people transcend their self-imposed expectations in order to reconnect with a state of innocence from which the surprising becomes inevitable. Over the years, as he has thought deeply about where creativity comes from and where it doesn't, he has learned that being an artist isn't about your specific output, it's about your relationship to the world. Creativity has a place in everyone's life, and everyone can make that place larger. In fact, there are few more important responsibilities.

is a beautiful and generous course of study that illuminates the path of the artist as a road we all can follow. It distills the wisdom gleaned from a lifetime's work into a luminous reading experience that puts the power to create moments--and lifetimes--of exhilaration and transcendence within closer reach for all of us.
Show more",art
Van Gogh: The Complete Paintings,Ingo F. Walther,4.13,"53,992 ratings",255 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347681065i/203805.jpg,"The amazing work of a tormented soul Vincent van Gogh's story is one of the most ironic in art history. He lived an unhappy and difficult life during which his work received almost no appreciation—finally killing himself by a bullet to the chest, so great was his despair—and is now widely considered one of the most important painters of all time, his works fetching record prices of tens of millions of dollars at auction. This comprehensive study of Vincent Van Gogh (1853-1890) represents a rarity in art a detailed monograph on his life and art combined with a complete catalogue of his 871 paintings. These volumes also reproduce most of Van Gogh's paintings in color.
Show more",art
The Secret Lives of Color,Kassia St. Clair,4.09,"18,063 ratings","1,538 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1498826320i/34122206.jpg,"The Secret Lives of Colour tells the unusual stories of the 75 most fascinating shades, dyes and hues. From blonde to ginger, the brown that changed the way battles were fought to the white that protected against the plague, Picasso's blue period to the charcoal on the cave walls at Lascaux, acid yellow to kelly green, and from scarlet women to imperial purple, these surprising stories run like a bright thread throughout history. In this book Kassia St Clair has turned her lifelong obsession with colours and where they come from (whether Van Gogh's chrome yellow sunflowers or punk's fluorescent pink) into a unique study of human civilisation. Across fashion and politics, art and war, tell the vivid story of our culture.
Show more",art
Art Through the Ages,Fred S. Kleiner,3.84,"42,960 ratings",214 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1168391513i/32525.jpg,"The market-leading text for the art history survey course, GARDNER'S ART THROUGH THE AGES has served as a comprehensive and thoughtfully crafted guide to the defining phases of the world's artistic tradition. With this book in hand, thousands of students have watched the story of art unfold in its full historical, social, religious, economic, and cultural context, and thus deepened their understanding of art, architecture, painting, and sculpture. By virtue of its comprehensive coverage, strong emphasis on context, and rich, accurate art reproductions, GARDNER'S ART THROUGH THE AGES has earned and sustained a reputation of excellence and authority. So much so, that in 2001, the Text and Academic Authors Association awarded both the McGuffey and the ""Texty"" Book Prizes to the Eleventh Edition of the text. It is the first art history book to win either award and the only title ever to win both prizes in one year. The Twelfth Edition maintains and exceeds the richness of the Gardner legacy with updated research and scholarship and an even more beautiful art program featuring more color images than any other art history book available. The Twelfth Edition features such enhancements as more color photographs, a stunning new design, and the most current research and scholarship. What's more, the expanded ancillary package that accompanies GARDNER'S ART THROUGH THE AGES, features a wealth of tools to enhance your students' experience in the course. With each new copy of the book, students receive a copy of the ArtStudy 2.0 CD-ROM--an interactive electronic study aid that fully integrates with the Twelfth Edition and includes hundreds of high-quality digital images, plus maps, quizzes, and more.
Show more",art
Color: A Natural History of the Palette,Victoria Finlay,3.81,"70,243 ratings",855 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427998243i/19596.jpg,"In this vivid and captivating journey through the colors of an artist’s palette, Victoria Finlay takes us on an enthralling adventure around the world and through the ages, illuminating how the colors we choose to value have determined the history of culture itself.

How did the most precious color blue travel all the way from remote lapis mines in Afghanistan to Michelangelo’s brush? What is the connection between brown paint and ancient Egyptian mummies? Why did Robin Hood wear Lincoln green? In Color , Finlay explores the physical materials that color our world, such as precious minerals and insect blood, as well as the social and political meanings that color has carried through time.

Roman emperors used to wear togas dyed with a purple color that was made from an odorous Lebanese shellfish–which probably meant their scent preceded them. In the eighteenth century, black dye was called logwood and grew along the Spanish Main. Some of the first indigo plantations were started in America, amazingly enough, by a seventeen-year-old girl named Eliza. And the popular van Gogh painting White Roses at Washington’s National Gallery had to be renamed after a researcher discovered that the flowers were originally done in a pink paint that had faded nearly a century ago. Color is full of extraordinary people, events, and anecdotes–painted all the more dazzling by Finlay’s engaging style.

Embark upon a thrilling adventure with this intrepid journalist as she travels on a donkey along ancient silk trade routes; with the Phoenicians sailing the Mediterranean in search of a special purple shell that garners wealth, sustenance, and prestige; with modern Chilean farmers breeding and bleeding insects for their viscous red blood. The colors that craft our world have never looked so bright.
Show more",art
M.C. Escher: The Graphic Work,M.C. Escher,3.94,"69,738 ratings",211 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388377308i/276287.jpg,"Presenting the structurally unthinkable as though it were a law of nature M.C. Escher was born in 1898 in Leeuwarden (Netherlands). He received his first drawing lessons during secondary school from F.W. van der Haagen, who also taught him the block printing, thus fostering Escher's innate graphic talents.

From 1912 to 1922 he studied at the School of Architecture and Ornamental Design in Haarlem, where he was instructed in graphic techniques by S. Jessurun de Mesquita, who greatly influenced Escher's further artistic development. Between 1922 and 1934 the artist lived and worked in Italy. Afterwards Escher spent two years in Switzerland and five in Brussels before finally moving back to Barn in Holland, where he died in 1972.

M.C. Escher is not a surrealist drawing us into his dream world, but an architect of perfectly impossible worlds who presents the structurally unthinkable as though it were a law of nature. The resulting dimensional and perspectival illusions bring us into confrontation with the limitations of our sensory perception.
Each book in TASCHEN's Basic Art series features:
a detailed chronological summary of the life and oeuvre of the artist, covering his or her cultural and historical importance a concise biography approximately 100 illustrations with explanatory captions
Show more",art
Just Kids,Patti Smith,4.21,"324,844 ratings","27,053 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1706691407i/206318521.jpg,"In Just Kids, Patti Smith's first book of prose, the legendary American artist offers a never-before-seen glimpse of her remarkable relationship with photographer Robert Mapplethorpe in the epochal days of New York City and the Chelsea Hotel in the late sixties and seventies. An honest and moving story of youth and friendship, Smith brings the same unique, lyrical quality to Just Kids as she has to the rest of her formidable body of work--from her influential 1975 album Horses to her visual art and poetry.",art
What Are You Looking At?: 150 Years of Modern Art in a Nutshell,Will Gompertz,4.15,"11,523 ratings",663 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348756302i/15929764.jpg,"In the tradition of Eats, Shoots & Leaves, art history with a sense of humor

Every year, millions of museum and gallery visitors ponder the modern art on display and secretly ask themselves, ""Is this art?"" A former director at London's Tate Gallery and now the BBC arts editor, Will Gompertz made it his mission to bring modern art's exciting history alive for everyone, explaining why an unmade bed or a pickled shark can be art—and why a five-year-old couldn't really do it. Rich with extraordinary tales and anecdotes, What Are You Looking At? entertains as it arms readers with the knowledge to truly understand and enjoy what it is they’re looking at.
Show more",art
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,4.11,"56,785 ratings","4,237 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404580714i/18290401.jpg,"In his New York Times bestseller Steal Like an Artist, Austin Kleon showed readers how to unlock their creativity by “stealing” from the community of other movers and shakers. Now, in an even more forward-thinking and necessary book, he shows how to take that critical next step on a creative journey—getting known.

Show Your Work! is about why generosity trumps genius. It’s about getting findable, about using the network instead of wasting time “networking.” It’s not self-promotion, it’s self-discovery—let others into your process, then let them steal from you. Filled with illustrations, quotes, stories, and examples, offers ten transformative rules for being open, generous, brave, productive.

In chapters such as; ; and , Kleon creates a user’s manual for embracing the communal nature of creativity— what he calls the “ecology of talent.” From broader life lessons about work (you can’t find your voice if you don’t use it) to the etiquette of sharing—and the dangers of oversharing—to the practicalities of Internet life (build a good domain name; give credit when credit is due), it’s an inspiring manifesto for succeeding as any kind of artist or entrepreneur in the digital age.
Show more",art
"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession",Michael Finkel,3.95,"67,616 ratings","8,468 reviews",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1701688707i/62873378.jpg,"One of the most remarkable true-crime narratives of the twenty-first the story of the world’s most prolific art thief, Stéphane Breitwieser.

In this spellbinding portrait of obsession and flawed genius, the best-selling author of The Stranger in the Woods brings us into Breitwieser’s strange world—unlike most thieves, he never stole for money, keeping all his treasures in a single room where he could admire them.

For centuries, works of art have been stolen in countless ways from all over the world, but no one has been quite as successful at it as the master thief Stéphane Breitwieser. Carrying out more than two hundred heists over nearly eight years—in museums and cathedrals all over Europe—Breitwieser, along with his girlfriend who worked as his lookout, stole more than three hundred objects, until it all fell apart in spectacular fashion.

In , Michael Finkel brings us into Breitwieser’s strange and fascinating world. Unlike most thieves, Breitwieser never stole for money. Instead, he displayed all his treasures in a pair of secret rooms where he could admire them to his heart’s content. Possessed of a remarkable athleticism and an innate ability to circumvent practically any security system, Breitwieser managed to pull off a breathtaking number of audacious thefts. Yet these strange talents bred a growing disregard for risk and an addict’s need to score, leading Breitwieser to ignore his girlfriend’s pleas to stop—until one final act of hubris brought everything crashing down.

This is a riveting story of art, crime, love, and an insatiable hunger to possess beauty at any cost.
Show more",art
Figure Drawing for All It's Worth,Andrew Loomis,4.04,"21,827 ratings",149 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387701635i/147941.jpg,"Artist Andrew Loomis writes this book for those who have graduated from the fundamentals of drawing and are ready to embark on their artistic careers. He coordinates all the basic facts gathering the fundamentals, aesthetic as well as practical, of commercial work into one book. He includes chapters on anatomy, planes and lighting, drawing from living models, the figure in action, and costume, among others giving the artist a firm understanding of the science of the trade. He discusses idealization and other tricks of the trade helping the reader to produce work that will find a market. At appropriate stages he inserts typical problems. Explanatory sketches and examples of some of his own best work appear on almost every page. Originally published in 1943 this book continues as a solid reference for artists perfecting figure drawing.
Show more",art
History of Art,H.W. Janson,3.81,"37,010 ratings",181 reviews,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1330064588i/2693801.jpg,"For 1000s of art lovers both amateur & professional, esthetic life began with Janson, as his History of Art is often called. In the 1st edition, published in 1962, he spoke to that perennial reader he gently called ""the troubled layman."" His opening paragraph revealed his sympathy: ""Why is this supposed to be art?"" he quoted rhetorically. ""How often have we heard this question asked--or asked it ourselves, perhaps--in front of one of the strange, disquieting works that we are likely to find nowadays in the museum or art exhibition?"" Keeping that curious, questioning perspective in mind, he wrote a history of art from cave painting to Picasso that was singularly welcoming, illuminating & exciting. Sojourning thru this book, a reader is offered every amenity for a comfortable trip. Because he never assumes knowledge on the part of the reader, a recent immigrant from Mars could comprehend Western art from this text. The only assumption the Jansons have made is that with a little guidance everyone can come to understand the artifacts that centuries of architecture, sculpture, design & painting have deposited in our paths. Countless readers have proven the Jansons right & found their lives enriched in the process.
Show more",art
